word,colour,stim_condition,correct_res,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,polygon.started,text.started,key_resp.started,polygon.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart
BLUE,blue,C,b,0,0,0,b,1,1.7850198,None,0,0,0,3,0.0733845,,0.0702925,0.0733845,0.5041107,0.5041107,0.587207,2.3139432,b,1,1.7850198,None,P2,1,2025-08-26_11h02.11.064,PSY310_STROOP,,2025.1.1,60.06251306,2025-08-26 11h02.31.897725 +0530
RED,red,C,r,1,1,0,b,0,0.1302342,None,0,1,1,0,2.3248693,,2.3224568,2.3248693,2.8208441,2.8208441,2.83718,2.9545403,b,0,0.1302342,None,P2,1,2025-08-26_11h02.11.064,PSY310_STROOP,,2025.1.1,60.06251306,2025-08-26 11h02.31.897725 +0530
RED,blue,I,b,2,2,0,b,1,0.1640842,None,0,2,2,1,2.970385,,2.9554767,2.970385,3.4537849,3.4537849,3.4704698,3.6211155,b,1,0.1640842,None,P2,1,2025-08-26_11h02.11.064,PSY310_STROOP,,2025.1.1,60.06251306,2025-08-26 11h02.31.897725 +0530
BLUE,red,I,r,3,3,0,b,0,0.280013,None,0,3,3,2,3.6370524,,3.6258583,3.6370524,4.120525,4.120525,4.137151,4.4045807,b,0,0.280013,None,P2,1,2025-08-26_11h02.11.064,PSY310_STROOP,,2025.1.1,60.06251306,2025-08-26 11h02.31.897725 +0530
RED,blue,I,b,4,0,1,b,1,0.2763476,None,1,0,4,1,4.4205635,,4.409001,4.4205635,4.9036545,4.9036545,4.9204665,5.1879501,b,1,0.2763476,None,P2,1,2025-08-26_11h02.11.064,PSY310_STROOP,,2025.1.1,60.06251306,2025-08-26 11h02.31.897725 +0530
BLUE,red,I,r,5,1,1,b,0,0.3096157,None,1,1,5,2,5.2037044,,5.1935653,5.2037044,5.6868491,5.6868491,5.7036266,6.0043291,b,0,0.3096157,None,P2,1,2025-08-26_11h02.11.064,PSY310_STROOP,,2025.1.1,60.06251306,2025-08-26 11h02.31.897725 +0530
RED,red,C,r,6,2,1,b,0,0.2553484,None,1,2,6,0,6.0203942,,6.0087706,6.0203942,6.5036368,6.5036368,6.5203219,6.7712546,b,0,0.2553484,None,P2,1,2025-08-26_11h02.11.064,PSY310_STROOP,,2025.1.1,60.06251306,2025-08-26 11h02.31.897725 +0530
BLUE,blue,C,b,7,3,1,b,1,0.2040518,None,1,3,7,3,6.7866104,,6.7764254,6.7866104,7.2866807,7.2866807,7.2866807,7.5042087,b,1,0.2040518,None,P2,1,2025-08-26_11h02.11.064,PSY310_STROOP,,2025.1.1,60.06251306,2025-08-26 11h02.31.897725 +0530
RED,red,C,r,8,0,2,b,0,0.2161057,None,2,0,8,0,7.5203464,,7.5091957,7.5203464,8.0034867,8.0034867,8.0202415,8.2208533,b,0,0.2161057,None,P2,1,2025-08-26_11h02.11.064,PSY310_STROOP,,2025.1.1,60.06251306,2025-08-26 11h02.31.897725 +0530
BLUE,blue,C,b,9,1,2,b,1,0.2178356,None,2,1,9,3,8.2369232,,8.225659,8.2369232,8.7202843,8.7202843,8.736806,8.9543121,b,1,0.2178356,None,P2,1,2025-08-26_11h02.11.064,PSY310_STROOP,,2025.1.1,60.06251306,2025-08-26 11h02.31.897725 +0530
RED,blue,I,b,10,2,2,b,1,0.2446635,None,2,2,10,1,8.9700305,,8.959421,8.9700305,9.4699615,9.4699615,9.4699615,9.7210185,b,1,0.2446635,None,P2,1,2025-08-26_11h02.11.064,PSY310_STROOP,,2025.1.1,60.06251306,2025-08-26 11h02.31.897725 +0530
BLUE,red,I,r,11,3,2,b,0,1.5033452,None,2,3,11,2,9.7367388,,9.7256131,9.7367388,10.2201466,10.2201466,10.2370257,11.7372931,b,0,1.5033452,None,P2,1,2025-08-26_11h02.11.064,PSY310_STROOP,,2025.1.1,60.06251306,2025-08-26 11h02.31.897725 +0530
RED,blue,I,b,12,0,3,r,0,0.3830199,None,3,0,12,1,11.7532802,,11.7421208,11.7532802,12.2364676,12.2364676,12.2534519,12.6208999,r,0,0.3830199,None,P2,1,2025-08-26_11h02.11.064,PSY310_STROOP,,2025.1.1,60.06251306,2025-08-26 11h02.31.897725 +0530
