word,colour,stim_condition,correct_res,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,instructions.started,text_2.started,instructions.stopped,trial.started,fixation.started,fixation.stopped,text.started,key_resp.started,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,thankyou.started,text_3.started,text_3.stopped,thankyou.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,0.0019250999999940177,0.004415999999991982,1.0032496000000037,,,,,,,,,,,,,,,p3,001,2025-08-26_16h23.44.852,suhani_stroop_task_1,,2025.1.1,60.460990870987175,2025-08-26 16h23.55.182633 +0530,
BLUE,blue,C,b,0,0,0,b,1,0.7227306000000908,None,0,0,0,3,1.0480251999999837,,,,,1.0448409000000538,1.0480251999999837,1.5030520999999908,1.5030520999999908,1.5030520999999908,2.247159399999987,b,1,0.7227306000000908,None,,,,,p3,001,2025-08-26_16h23.44.852,suhani_stroop_task_1,,2025.1.1,60.460990870987175,2025-08-26 16h23.55.182633 +0530,
RED,blue,I,b,1,1,0,r,0,0.7843285999999807,None,0,1,1,1,2.2569803000000093,,,,,2.2550257999999985,2.2569803000000093,2.753048300000046,2.753048300000046,2.753048300000046,3.554168300000015,r,0,0.7843285999999807,None,,,,,p3,001,2025-08-26_16h23.44.852,suhani_stroop_task_1,,2025.1.1,60.460990870987175,2025-08-26 16h23.55.182633 +0530,
BLUE,red,I,r,2,2,0,b,0,0.3328896000000441,None,0,2,2,2,3.5696175000000494,,,,,3.558830100000023,3.5696175000000494,4.0694661,4.0694661,4.0694661,4.4030169000000114,b,0,0.3328896000000441,None,,,,,p3,001,2025-08-26_16h23.44.852,suhani_stroop_task_1,,2025.1.1,60.460990870987175,2025-08-26 16h23.55.182633 +0530,
RED,red,C,r,3,3,0,r,1,0.2894408999999314,None,0,3,3,0,4.419077799999968,,,,,4.406626500000016,4.419077799999968,4.902900600000066,4.902900600000066,4.902900600000066,5.203726000000074,r,1,0.2894408999999314,None,,,,,p3,001,2025-08-26_16h23.44.852,suhani_stroop_task_1,,2025.1.1,60.460990870987175,2025-08-26 16h23.55.182633 +0530,
RED,red,C,r,4,0,1,b,0,0.325649999999996,None,1,0,4,0,5.219380600000022,,,,,5.204980200000023,5.219380600000022,5.71919390000005,5.71919390000005,5.71919390000005,6.053355500000066,b,0,0.325649999999996,None,,,,,p3,001,2025-08-26_16h23.44.852,suhani_stroop_task_1,,2025.1.1,60.460990870987175,2025-08-26 16h23.55.182633 +0530,
BLUE,red,I,r,5,1,1,r,1,0.024245400000040718,None,1,1,5,2,6.069367800000009,,,,,6.057775900000024,6.069367800000009,6.552636500000062,6.552636500000062,6.552636500000062,6.586768099999972,r,1,0.024245400000040718,None,,,,,p3,001,2025-08-26_16h23.44.852,suhani_stroop_task_1,,2025.1.1,60.460990870987175,2025-08-26 16h23.55.182633 +0530,
RED,blue,I,b,6,2,1,b,1,0.4349118999999746,None,1,2,6,1,6.602621999999997,,,,,6.591353400000003,6.602621999999997,7.08592120000003,7.08592120000003,7.08592120000003,7.53620890000002,b,1,0.4349118999999746,None,,,,,p3,001,2025-08-26_16h23.44.852,suhani_stroop_task_1,,2025.1.1,60.460990870987175,2025-08-26 16h23.55.182633 +0530,
BLUE,blue,C,b,7,3,1,b,1,0.5953849999999647,None,1,3,7,3,7.552489000000037,,,,,7.539646000000062,7.552489000000037,8.035969600000044,8.035969600000044,8.035969600000044,8.636583500000029,b,1,0.5953849999999647,None,,,,,p3,001,2025-08-26_16h23.44.852,suhani_stroop_task_1,,2025.1.1,60.460990870987175,2025-08-26 16h23.55.182633 +0530,
BLUE,blue,C,b,8,0,2,b,1,0.44189590000007684,None,2,0,8,3,8.65265050000005,,,,,8.637588800000003,8.65265050000005,9.135781899999984,9.135781899999984,9.135781899999984,9.586478800000009,b,1,0.44189590000007684,None,,,,,p3,001,2025-08-26_16h23.44.852,suhani_stroop_task_1,,2025.1.1,60.460990870987175,2025-08-26 16h23.55.182633 +0530,
BLUE,red,I,r,9,1,2,b,0,0.5353271999999833,None,2,1,9,2,9.602699200000075,,,,,9.587557800000013,9.602699200000075,10.102415700000051,10.102415700000051,10.102415700000051,10.65322249999997,b,0,0.5353271999999833,None,,,,,p3,001,2025-08-26_16h23.44.852,suhani_stroop_task_1,,2025.1.1,60.460990870987175,2025-08-26 16h23.55.182633 +0530,
RED,red,C,r,10,2,2,r,1,0.12481639999998606,None,2,2,10,0,10.669102199999998,,,,,10.657660000000078,10.669102199999998,11.152545499999974,11.152545499999974,11.152545499999974,11.28648659999999,r,1,0.12481639999998606,None,,,,,p3,001,2025-08-26_16h23.44.852,suhani_stroop_task_1,,2025.1.1,60.460990870987175,2025-08-26 16h23.55.182633 +0530,
RED,blue,I,b,11,3,2,b,1,0.3355167000000847,None,2,3,11,1,11.30253520000008,,,,,11.287935199999993,11.30253520000008,11.785517499999969,11.785517499999969,11.785517499999969,12.136406000000079,b,1,0.3355167000000847,None,,,,,p3,001,2025-08-26_16h23.44.852,suhani_stroop_task_1,,2025.1.1,60.460990870987175,2025-08-26 16h23.55.182633 +0530,
RED,red,C,r,12,0,3,r,1,0.24723729999993793,None,3,0,12,0,12.152477200000021,,,,,12.137509900000055,12.152477200000021,12.635642800000028,12.635642800000028,12.635642800000028,12.88623849999999,r,1,0.24723729999993793,None,,,,,p3,001,2025-08-26_16h23.44.852,suhani_stroop_task_1,,2025.1.1,60.460990870987175,2025-08-26 16h23.55.182633 +0530,
BLUE,blue,C,b,13,1,3,b,1,0.7266934000000447,None,3,1,13,3,12.902289200000041,,,,,12.891241499999978,12.902289200000041,13.385632900000019,13.385632900000019,13.385632900000019,14.119416200000046,b,1,0.7266934000000447,None,,,,,p3,001,2025-08-26_16h23.44.852,suhani_stroop_task_1,,2025.1.1,60.460990870987175,2025-08-26 16h23.55.182633 +0530,
